Date,Product,Tenor,Currency,Rate,lag(day),Frequency(month),Dcc
2018/7/31,LIBOR,O/N,USD,0.0191538,2,,ACT/360
2018/7/31,LIBOR,1W,USD,0.0195363,2,,ACT/360
2018/7/31,LIBOR,1M,USD,0.0208138,2,,ACT/360
2018/7/31,LIBOR,2M,USD,0.0217906,2,,ACT/360
2018/7/31,LIBOR,3M,USD,0.0234856,2,,ACT/360
2018/7/31,LIBOR,6M,USD,0.025305,2,,ACT/360
2018/7/31,LIBOR,9M,USD,0.0260425,2,,ACT/360
2018/7/31,SWAP,1Y,USD,0.02678,2,3,ACT/360
2018/7/31,SWAP,2Y,USD,0.02881,2,3,ACT/360
2018/7/31,SWAP,3Y,USD,0.02944,2,3,ACT/360
2018/7/31,SWAP,4Y,USD,0.02966,2,3,ACT/360
2018/7/31,SWAP,5Y,USD,0.02977,2,3,ACT/360
2018/7/31,SWAP,6Y,USD,0.02986,2,3,ACT/360
2018/7/31,SWAP,7Y,USD,0.02996,2,3,ACT/360
2018/7/31,SWAP,8Y,USD,0.03006,2,3,ACT/360
2018/7/31,SWAP,9Y,USD,0.03018,2,3,ACT/360
2018/7/31,SWAP,10Y,USD,0.03031,2,3,ACT/360
2018/7/31,SWAP,15Y,USD,0.03063,2,3,ACT/360
2018/7/31,SWAP,20Y,USD,0.03067,2,3,ACT/360
2018/7/31,SWAP,30Y,USD,0.03038,2,3,ACT/360
2018/7/31,LIBOR,O/N,JPY,-0.06367,2,,ACT/360
2018/7/31,LIBOR,1W,JPY,-0.06283,2,,ACT/360
2018/7/31,LIBOR,1M,JPY,-0.06833,2,,ACT/360
2018/7/31,LIBOR,2M,JPY,-0.05733,2,,ACT/360
2018/7/31,LIBOR,3M,JPY,-0.032,2,,ACT/360
2018/7/31,LIBOR,6M,JPY,0.0145,2,,ACT/360
2018/7/31,LIBOR,9M,JPY,0.0147,2,,ACT/360
2018/7/31,SWAP,1Y,JPY,0.015267,2,6,ACT/360
2018/7/31,SWAP,2Y,JPY,0.016424282,2,6,ACT/360
2018/7/31,SWAP,3Y,JPY,0.016783438,2,6,ACT/360
2018/7/31,SWAP,4Y,JPY,0.016908858,2,6,ACT/360
2018/7/31,SWAP,5Y,JPY,0.016971568,2,6,ACT/360
2018/7/31,SWAP,6Y,JPY,0.017022876,2,6,ACT/360
2018/7/31,SWAP,7Y,JPY,0.017079885,2,6,ACT/360
2018/7/31,SWAP,8Y,JPY,0.017136894,2,6,ACT/360
2018/7/31,SWAP,9Y,JPY,0.017205305,2,6,ACT/360
2018/7/31,SWAP,10Y,JPY,0.017279416,2,6,ACT/360
2018/7/31,SWAP,15Y,JPY,0.017461845,2,6,ACT/360
2018/7/31,SWAP,20Y,JPY,0.017484649,2,6,ACT/360
2018/7/31,SWAP,30Y,JPY,0.017319323,2,6,ACT/360
